objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class
1237648720147120407,157.3973,-1.0133235,19.25533,18.00035,17.5233,17.35114,17.27162,19.23143,18.00131,17.52579,17.3405,17.26264,0.0003876297,1.254986,0.4770489,0.1721592,0.07952309,STAR
1237648720683860157,157.2276,-0.5636103,19.34519,18.14209,17.7764,17.57386,17.49204,19.40139,18.17592,17.93568,17.60991,17.57156,0.0002949261,1.2031,0.3656826,0.2025471,0.08181763,STAR
1237648721220862115,157.43915,-0.1715844,20.53669,19.23053,18.65154,18.54109,18.45664,20.41434,19.23348,18.59785,18.53465,18.45077,0.0004416356,1.306156,0.5789986,0.110445,0.08444786,STAR
1237648720683925726,157.2985,-0.50195519,19.432,19.47606,19.88582,20.21949,20.55069,19.43722,19.50707,19.91437,20.24413,20.54703,0.000291756,-0.04405785,-0.4097595,-0.3336716,-0.3312035,STAR
1237654669738836014,157.47538,-0.35813765,17.39345,16.34927,16.56461,16.77331,16.86465,17.39574,16.36798,16.57245,16.77756,16.86264,8.477456e-05,1.044184,-0.2153378,-0.2087021,-0.09134102,STAR
1237648721220730896,157.10264,-0.14373363,20.04349,18.32806,17.6114,17.30231,17.18137,20.06873,18.35977,17.65167,17.3277,17.20497,6.658377e-05,1.715435,0.7166576,0.3090839,0.120945,STAR
1237648721220796501,157.36332,-0.19797231,18.99076,18.06819,17.87633,17.80193,17.80728,18.96215,18.07768,17.88073,17.82039,17.83745,0.0006352317,0.9225731,0.1918545,0.07440186,-0.00535202,STAR
1237648720146923697,157.02786,-0.94258058,18.45239,17.2087,16.74855,16.59276,16.52101,18.46546,17.21924,16.75603,16.59484,16.5206,0.0003451772,1.243692,0.4601498,0.1557884,0.07174492,STAR
1237648721220599866,156.856,-0.09321643,16.56718,15.3252,14.80793,14.59868,14.48044,16.57115,15.33416,14.81387,14.60255,14.49224,0.0008336598,1.241982,0.5172691,0.2092543,0.1182356,STAR
1237674648849088555,166.61551,-1.0673817,18.52675,17.52875,17.47516,17.51758,17.58398,18.5064,17.54955,17.47488,17.51408,17.58524,-4.253162e-06,0.9980087,0.05358887,-0.04242516,-0.06639481,STAR
1237648720151118056,166.63518,-0.87821729,20.87929,18.45317,17.43478,17.05666,16.85701,20.83208,18.44526,17.42356,17.066,16.84899,0.0001670518,2.426117,1.018387,0.3781281,0.1996422,STAR
1237648721225056271,166.98484,-0.079988802,16.83228,15.74368,15.44151,15.33569,15.31956,16.83752,15.75299,15.43589,15.3261,15.33929,9.708016e-06,1.088599,0.3021688,0.1058216,0.01612854,STAR
1237648721224990762,166.83335,-0.17846498,19.03297,17.91196,17.51061,17.39308,17.31906,19.0247,17.92269,17.50507,17.38208,17.31602,2.830969e-05,1.121014,0.4013481,0.117527,0.07401848,STAR
1237674649922568304,166.06441,-0.39137228,18.91089,17.73696,17.33502,17.19168,17.14924,18.89352,17.74386,17.34022,17.18927,17.15558,-6.790568e-05,1.173933,0.4019337,0.1433449,0.04243851,STAR
1237648721224663136,166.20931,-0.16881158,17.40556,16.34401,15.94972,15.82285,15.79525,17.4014,16.34187,15.9461,15.81124,15.79405,0.0001799836,1.061554,0.3942814,0.1268692,0.02760696,STAR
1237648722835276393,166.15428,1.187773,23.61869,21.79391,20.50179,19.90713,19.46068,23.65212,21.80188,20.52957,19.90829,19.48812,0.0001409231,1.824772,1.292128,0.5946617,0.4464436,STAR
1237674651533312023,166.32892,0.89657108,18.00585,17.0256,16.66563,16.52555,16.49703,18.01558,17.03275,16.6701,16.53015,16.49728,-0.0001231572,0.9802475,0.3599682,0.1400795,0.02852058,STAR
1237648721761533988,166.09524,0.35578033,16.59605,15.70044,15.4722,15.38207,15.38163,16.60376,15.70255,15.48334,15.3866,15.37999,0.0003418917,0.8956127,0.2282419,0.09012127,0.0004434586,STAR
1237648722835472491,166.59748,1.2558195,18.57202,18.17274,18.39327,18.57552,18.81828,18.56659,18.17162,18.39021,18.58073,18.80145,-0.0001607864,0.3992748,-0.2205238,-0.1822548,-0.2427578,STAR
1237674649389039628,173.58293,-0.67197516,18.40126,17.13098,16.67327,16.47848,16.42029,18.40005,17.12793,16.6863,16.48496,16.42529,9.295769e-05,1.270279,0.4577103,0.1947956,0.05818558,STAR
1237674649925976237,173.84423,-0.37241049,20.68005,18.13618,17.0551,16.65315,16.4453,20.68401,18.12783,17.05812,16.65841,16.43394,0.0001463385,2.543875,1.081078,0.4019451,0.2078514,STAR
1237674648851972252,173.20078,-1.1322287,20.95555,18.39126,17.19288,16.71682,16.47458,20.95635,18.38298,17.17925,16.72778,16.46507,-6.31066e-05,2.564295,1.198378,0.476059,0.2422447,STAR
1237674648851972354,173.15919,-1.1551477,24.61903,21.4908,20.05757,18.71957,18.05357,24.6494,21.48248,20.06415,18.717,18.07084,-5.391641e-07,3.128233,1.433228,1.337999,0.6660004,STAR
1237674648851972219,173.1132,-1.2156011,20.64692,18.16349,16.99492,16.55166,16.32789,20.66527,18.15868,16.98389,16.54536,16.33693,-0.0001079702,2.483429,1.16857,0.4432564,0.223772,STAR
1237674648852037704,173.39853,-1.1702097,18.44098,17.28453,17.04623,16.94429,16.91895,18.44817,17.32359,17.05539,16.94028,16.91406,-0.0001710784,1.156446,0.2382984,0.1019478,0.02534103,STAR
1237674648852169599,173.59092,-1.2380943,26.33873,24.32346,22.96569,20.35859,18.78388,26.1437,24.3364,22.9424,20.34727,18.77273,1.194933e-05,2.015274,1.357765,2.6071,1.574709,STAR
1237648720154132607,173.50069,-0.89760542,18.35458,17.1532,17.37654,17.54835,17.61897,18.35581,17.17422,17.38647,17.55284,17.61288,0.0002894584,1.201384,-0.2233372,-0.1718121,-0.07062149,STAR
1237674651531935813,163.08279,0.83971466,18.34841,16.97086,16.48015,16.3117,16.25386,18.37146,16.97882,16.48914,16.31846,16.26587,5.570632e-06,1.377558,0.4907055,0.1684456,0.05784607,STAR
1237674651531935751,163.0932,0.96880015,16.57595,15.39788,14.98262,14.84968,14.82395,16.55311,15.41733,14.92697,14.83536,14.76917,0.0002101316,1.178073,0.4152546,0.1329432,0.02572727,STAR
1237674651532001343,163.36648,0.87176665,17.56782,16.28847,15.84586,15.70707,15.63752,17.5727,16.29027,15.85343,15.70532,15.64256,7.678021e-05,1.279348,0.4426088,0.1387911,0.06955242,STAR
1237674651531935873,163.08937,0.85806642,20.98677,19.35773,18.64722,18.36477,18.19539,20.99026,19.35089,18.65185,18.37074,18.20662,0.001060861,1.629038,0.710516,0.282444,0.169384,STAR
1237674651531935871,163.08935,0.94213278,19.51895,17.84498,17.23588,17.0344,16.94635,19.52687,17.86737,17.2479,17.04916,16.95705,0.0001858662,1.673969,0.6090984,0.2014809,0.08804893,STAR
1237674651531935886,163.10556,0.86815031,18.73802,17.70333,17.33739,17.22116,17.17156,18.76181,17.71993,17.33603,17.22607,17.17006,0.0002806911,1.034689,0.365942,0.11623,0.04959869,STAR
1237674650994999385,163.00934,0.54048627,24.87349,22.21477,20.7226,20.01917,19.7822,24.85056,22.20556,20.7081,20.03259,19.77261,0.0004381942,2.658728,1.492163,0.7034283,0.2369709,STAR
1237648720689365610,169.7349,-0.45489764,23.68246,21.75237,19.82716,19.0588,18.647,23.64473,21.76194,19.8183,19.05607,18.6345,0.0003024576,1.93009,1.925213,0.7683601,0.4118023,STAR
1237648721226170389,169.55042,-0.12759279,18.06489,16.82762,16.69017,16.69344,16.74514,18.05637,16.82876,16.6972,16.69376,16.73588,0.0004078264,1.237276,0.1374493,-0.00327301,-0.05170059,STAR
1237674648850137152,169.00648,-1.1901338,18.25593,17.15973,17.06199,17.08344,17.10792,18.24984,17.18714,17.07066,17.09229,17.10745,0.0008202082,1.096205,0.09773636,-0.02145195,-0.02447891,STAR
1237648720152232146,169.08228,-0.93855461,19.55509,17.64938,16.67906,16.24939,15.79254,21.10771,18.93216,17.75118,17.17823,16.78851,-8.610135e-06,1.90571,0.9703197,0.4296741,0.4568472,STAR
1237674649924010129,169.25739,-0.30350281,19.2421,18.07205,18.12906,18.20648,18.17444,19.25839,18.09255,18.13838,18.21818,18.19793,0.0006427304,1.170052,-0.05701447,-0.07742119,0.03204536,STAR
1237674650998276194,170.53677,0.54368451,18.89329,17.72059,17.26845,17.09393,17.0281,18.90199,17.72524,17.27883,17.08884,17.04191,4.633745e-05,1.172697,0.4521465,0.1745186,0.06583214,STAR
1237674650998407335,170.78068,0.5378143,19.63163,19.27504,19.39126,18.85409,18.26058,19.64393,19.2842,19.39302,18.85083,18.26375,0.0001168415,0.3565903,-0.1162281,0.5371704,0.5935116,STAR
1237648722837307692,170.84745,1.1111265,21.17186,20.06838,19.8106,19.36309,19.29377,21.22267,20.17378,19.94402,19.44333,19.37774,0.0002223661,1.103479,0.2577782,0.4475079,0.06932068,STAR
1237648722837372989,170.91817,1.2512873,18.73712,17.81623,17.52712,17.42289,17.3635,18.73742,17.84495,17.52969,17.43179,17.36263,0.000347251,0.9208851,0.2891083,0.1042385,0.05938721,STAR
1237648722300764198,171.49528,0.79092266,17.9222,16.66391,16.24236,16.09851,16.03987,17.91676,16.67852,16.23629,16.09692,16.03876,5.597761e-05,1.258286,0.4215469,0.1438541,0.05864525,STAR
1237648721215816394,145.97827,-0.030849846,22.95507,20.72849,19.84207,19.5198,18.86885,22.93295,20.73135,19.83998,19.52816,18.73718,0.000385456,2.22658,0.8864269,0.3222675,0.6509495,STAR
1237650795682988170,145.87459,-0.33551457,18.83883,17.62781,17.13795,16.98486,16.90222,18.83615,17.63248,17.14619,16.98804,16.90636,0.0003758192,1.211016,0.4898663,0.1530838,0.08264732,STAR
1237650795682988135,145.84176,-0.27778925,18.12452,16.94275,16.80546,16.76333,16.79567,18.10653,16.95909,16.80614,16.75461,16.78115,0.0006633649,1.181772,0.1372814,0.04213524,-0.03234291,STAR
1237648721753800838,148.54058,0.25761725,18.02163,16.88836,16.49742,16.31778,16.2482,18.01927,16.89502,16.52203,16.36976,16.32952,-0.0001195583,1.133266,0.3909492,0.1796322,0.06958199,STAR
1237651752386035760,148.76657,0.92770885,18.61461,17.67668,17.36002,17.23807,17.24203,18.61107,17.70418,17.36146,17.22729,17.23426,8.181729e-05,0.937933,0.316658,0.121954,-0.00396347,STAR
1237648722827542622,148.49046,1.088089,18.69353,17.8521,17.64399,17.55275,17.54766,18.69156,17.85835,17.64831,17.54428,17.53911,0.0004529761,0.841423,0.2081165,0.09124184,0.005081177,STAR
1237651800160469042,150.24775,-0.70635261,17.84479,16.81373,16.61037,16.5566,16.58981,17.84643,16.83339,16.60787,16.55058,16.5907,0.0003859657,1.031061,0.2033615,0.05377388,-0.03320885,STAR
1237648720680845348,150.21882,-0.5674201,18.01716,16.88066,16.43619,16.29976,16.24792,17.98249,16.88336,16.43172,16.29811,16.24069,-6.401377e-05,1.136497,0.4444752,0.1364212,0.05184937,STAR
1237654669198622795,149.81852,-0.82974198,24.98589,21.62991,20.12409,19.04845,18.44662,24.96981,21.6316,20.12237,19.05109,18.44913,-0.0001557162,3.355984,1.505823,1.07564,0.6018314,STAR
1237651800160206926,149.6984,-0.66619961,18.92289,17.67256,17.17097,16.96958,16.91584,18.90698,17.6873,17.15533,16.96793,16.90323,0.000518739,1.250334,0.5015869,0.2013893,0.05374146,STAR
1237654669198688808,149.93783,-0.81879212,23.10876,20.89715,19.89106,19.61073,19.46966,22.89915,20.8921,19.89047,19.61841,19.48587,1.193515e-05,2.211611,1.006094,0.2803268,0.1410656,STAR
1237648720680714347,149.98047,-0.49724368,18.71831,17.51899,17.05397,16.86108,16.7743,18.71693,17.52962,17.05487,16.86204,16.76928,0.0005194137,1.199316,0.4650211,0.1928902,0.08677864,STAR
1237648722828787737,151.2808,1.2022459,17.24236,16.22505,15.85903,15.73958,15.69459,17.24359,16.23914,15.87294,15.7409,15.70396,0.0001573145,1.017315,0.3660154,0.1194534,0.04499054,STAR
1237648722291982465,151.53825,0.73807449,18.15969,17.71703,17.60919,17.28774,16.64396,18.16817,17.7255,17.61544,17.29514,16.63116,-0.0004552307,0.4426537,0.1078377,0.3214531,0.6437855,STAR
1237651799626350747,156.51305,-1.0696484,19.21125,17.86623,17.40602,17.24936,17.19332,19.21515,17.87177,17.4047,17.24,17.19216,0.000211615,1.34502,0.4602089,0.1566639,0.0560379,STAR
1237651799626285251,156.43695,-1.0753926,21.58324,19.7308,18.97836,18.75801,18.52203,21.49577,19.72013,18.96633,18.76005,18.52735,0.0001783984,1.85244,0.7524395,0.2203522,0.2359829,STAR
1237651799626350611,156.50252,-1.1340382,18.08183,16.99739,16.69506,16.59815,16.57967,18.09565,16.99544,16.72248,16.59461,16.5901,9.422343e-05,1.084444,0.3023262,0.09691429,0.01848412,STAR
1237651800700223614,156.81504,-0.25788834,18.43354,17.30841,16.83958,16.62595,16.54638,18.43069,17.3178,16.83529,16.63513,16.54455,0.0009084994,1.125137,0.4688244,0.2136307,0.07957649,STAR
1237654668664569929,156.19845,-1.2273457,18.92764,17.9558,17.69687,17.6187,17.59387,18.92827,17.96098,17.68595,17.60655,17.59527,0.0006503264,0.9718456,0.2589207,0.07817459,0.02482986,STAR
